#Shape:0 (Polygon)  nVertices=433  nParts=1
#  Bounds: 44.034 25.075
#      to  63.342 39.781
timezone 3.50
xy 83.876 27.381
xy 83.858 27.352
xy 83.608 27.469
xy 83.396 27.479
xy 83.377 27.375
xy 83.291 27.338
xy 83.176 27.449
xy 82.769 27.502
xy 82.701 27.711
xy 82.435 27.676
xy 82.066 27.914
# Shape:3 (Polygon)  nVertices=79 nParts=1
#  Bounds: -59.440 46.596
#      to  -52.594 53.199
timezone -3.50
xy -55.394 51.644
xy -55.536 50.934
xy -55.441 50.792
xy -55.504 50.035
xy -55.433 49.948
xy -55.780 49.767
xy -55.725 49.680
xy -55.330 49.538
xy -55.070 49.586
xy -54.818 49.704
xy -54.092 49.775
xy -53.911 49.609
xy -53.438 49.270
xy -53.595 48.931
xy -53.564 48.828
xy -53.572 48.710
xy -53.509 48.592
xy -53.414 48.639
xy -53.264 48.600
xy -53.083 48.726
xy -52.941 48.592
xy -53.051 48.418
xy -53.367 48.253
xy -53.185 48.103
xy -52.933 48.205
xy -52.728 48.166
xy -52.775 48.087
xy -53.020 47.906
xy -53.098 47.693
xy -52.885 47.693
xy -52.814 47.835
xy -52.680 47.764
xy -52.594 47.511
xy -52.807 47.164
xy -52.901 46.770
xy -53.122 46.596
xy -53.327 46.667
xy -53.422 46.667
xy -53.532 46.596
xy -53.619 46.620
xy -53.682 46.699
xy -53.643 46.920
xy -53.800 46.943
xy -53.919 46.841
xy -54.061 46.778
xy -54.210 46.786
xy -54.210 46.920
xy -54.037 47.251
xy -54.360 47.377
xy -54.991 47.172
xy -55.141 46.975
xy -55.354 46.825
xy -56.103 46.841
xy -56.103 46.904
xy -55.898 47.077
xy -55.717 47.141
xy -55.883 47.251
xy -56.017 47.243
xy -56.301 47.590
xy -56.813 47.480
xy -56.971 47.346
xy -57.712 47.582
xy -58.296 47.622
xy -59.211 47.527
xy -59.329 47.590
xy -59.440 47.906
xy -59.290 48.489
xy -59.227 48.584
xy -58.777 48.813
xy -58.391 49.199
xy -57.941 49.806
xy -57.326 50.863
xy -57.106 51.033
xy -57.074 53.199
xy -55.742 53.199
xy -55.768 52.862
xy -55.605 52.462
xy -55.616 52.125
xy -55.394 51.644
# Shape:4 (Polygon)  nVertices=11 nParts=2
#   Bounds:-180.000 -90.000
#       to -172.498 90.000
timezone -12.00
xy -172.509 90.000
xy -172.509 70.233
xy -180.000 75.000
xy -180.000 90.000
xy -172.509 90.000
ring
xy -172.499 -83.300
xy -172.498 -90.000
xy -180.000 -90.000
xy -180.000 -51.500
xy -172.500 -45.000
xy -172.499 -83.300
# Shape:5 (Polygon)  nVertices=153 nParts=3
#   Bounds: -180.000 -90.000
#       to  180.000 90.000
timezone -9.00
xy -141.537 -11.101
xy -135.683 -11.101
xy -135.683 -7.198
xy -141.537 -7.198
xy -141.537 -11.101
ring
xy -142.529 -13.486
xy -142.529 0.347
xy -142.529 18.347
xy -142.529 50.047
xy -157.506 50.027
xy -169.389 50.011
xy -169.390 55.021
xy -180.000 55.027
xy -180.000 58.952
xy -169.000 65.500
xy -169.000 68.000
xy -162.520 70.473
xy -157.526 71.378
xy -142.445 70.325
xy -142.530 90.000
xy -127.515 90.000
xy -127.515 70.500
xy -128.255 70.676
xy -128.873 70.342
xy -129.742 70.308
xy -129.959 70.141
xy -130.460 70.225
xy -133.583 69.574
xy -134.334 69.857
xy -135.670 69.640
xy -136.272 69.223
xy -136.421 68.902
xy -137.062 68.959
xy -137.239 69.015
xy -137.481 69.015
xy -138.230 69.183
xy -138.332 69.243
xy -138.383 69.317
xy -138.541 69.262
xy -138.625 69.285
xy -138.881 69.610
xy -139.127 69.662
xy -139.383 69.559
xy -139.932 69.629
xy -140.378 69.606
xy -141.003 69.657
xy -140.996 60.307
xy -140.521 60.222
xy -140.451 60.310
xy -139.979 60.188
xy -139.677 60.341
xy -139.068 60.352
xy -139.189 60.089
xy -139.048 59.997
xy -138.690 59.907
xy -138.616 59.774
xy -137.958 59.432
xy -137.591 59.239
xy -137.480 58.998
xy -137.508 58.926
xy -137.445 58.907
xy -137.296 58.990
xy -136.809 59.165
xy -136.584 59.163
xy -136.463 59.289
xy -136.464 59.470
xy -136.372 59.452
xy -136.234 59.526
xy -136.239 59.561
xy -136.344 59.603
xy -135.949 59.669
xy -135.474 59.802
xy -135.235 59.703
xy -135.177 59.637
xy -135.014 59.567
xy -135.021 59.471
xy -135.092 59.427
xy -134.989 59.390
xy -135.016 59.348
xy -134.952 59.280
xy -134.688 59.243
xy -134.672 59.200
xy -134.566 59.131
xy -134.461 59.127
xy -134.379 59.049
xy -134.395 58.983
xy -134.311 58.964
xy -134.332 58.930
xy -134.246 58.857
xy -133.827 58.726
xy -133.683 58.596
xy -133.430 58.459
xy -133.388 58.412
xy -133.430 58.360
xy -133.361 58.281
xy -133.137 58.136
xy -133.071 58.012
xy -132.882 57.864
xy -132.227 57.205
xy -132.337 57.088
xy -132.027 57.036
xy -132.103 56.867
xy -131.861 56.800
xy -131.884 56.745
xy -131.827 56.679
xy -131.824 56.597
xy -131.558 56.602
xy -131.055 56.398
xy -130.774 56.366
xy -130.627 56.259
xy -130.462 56.235
xy -130.414 56.129
xy -130.229 56.090
xy -130.089 56.118
xy -130.015 56.026
xy -130.015 55.909
xy -130.175 55.754
xy -130.122 55.655
xy -130.144 55.541
